price,area,flat_toilets,balcony,current_floors,total_floors,ceiling,dorm,mortgage,year,type_of_house,repair_status,distance_to_center
9500000.0,39.0,совмещенный,лоджия,4.0,5.0,2.7,нет,нет,1979,кирпичный,частично,3.712
39000000.0,76.1,раздельный,нет,4.0,10.0,3.0,нет,нет,2021,кирпичный,частично,2.43
29990000.0,75.0,раздельный,нет,9.0,10.0,3.0,нет,нет,2024,кирпичный,полностью,4.193
10900000.0,37.0,совмещенный,балкон,1.0,5.0,2.7,нет,нет,1966,кирпичный,частично,0.47
13400000.0,50.8,совмещенный,нет,6.0,6.0,2.7,нет,нет,1990,панельный,частично,2.078
15483700.0,46.22,раздельный,нет,3.0,10.0,2.75,нет,нет,2023,кирпичный,без мебели,1.294
90000000.0,140.0,2 с/у и более,нет,7.0,9.0,3.0,нет,нет,2023,кирпичный,полностью,1.599
16535600.0,49.36,раздельный,нет,3.0,10.0,2.75,нет,нет,2023,кирпичный,без мебели,1.294
47286000.0,105.08,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
10500000.0,36.2,совмещенный,нет,1.0,5.0,2.7,нет,нет,1974,панельный,частично,3.348
27000000.0,85.5,2 с/у и более,нет,3.0,12.0,2.7,нет,нет,2019,монолитный,частично,4.321
68769000.0,152.82,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
22136800.0,66.08,раздельный,нет,3.0,10.0,2.75,нет,нет,2023,кирпичный,без мебели,1.294
18000000.0,62.0,раздельный,нет,1.0,5.0,2.7,нет,нет,1998,кирпичный,частично,2.677
12000000.0,45.0,раздельный,лоджия,4.0,5.0,2.7,нет,нет,2024,кирпичный,частично,2.949
17000000.0,83.2,раздельный,нет,1.0,5.0,2.7,нет,нет,2024,кирпичный,частично,4.193
18800000.0,49.0,совмещенный,нет,5.0,9.0,2.7,нет,нет,2022,кирпичный,полностью,1.324
6000000.0,54.7,раздельный,лоджия,2.0,2.0,2.6,нет,нет,1982,кирпичный,частично,3.956
101601245.0,141.5,раздельный,нет,9.0,10.0,3.4,нет,нет,2020,кирпичный,частично,0.507
16485350.0,49.21,раздельный,нет,3.0,10.0,2.75,нет,нет,2023,кирпичный,без мебели,1.294
18208000.0,56.9,раздельный,нет,2.0,5.0,3.0,нет,нет,2024,кирпичный,частично,0.584
15000000.0,58.0,раздельный,лоджия,1.0,5.0,2.7,нет,нет,2024,кирпичный,без мебели,2.949
12600000.0,49.2,раздельный,нет,4.0,5.0,2.7,нет,нет,1976,кирпичный,частично,2.23
17000000.0,49.0,совмещенный,нет,5.0,5.0,2.7,нет,нет,2018,кирпичный,полностью,4.447
22500000.0,69.2,раздельный,нет,4.0,5.0,2.7,нет,В залоге,2023,кирпичный,частично,1.84
